หมวดหมู่/ชีท,ลำดับ,รายการ,จำนวน,หน่วยนับ,ราคา/หน่วย,เป็นเงิน
วัสดุสำนักงาน,1,ลวดเสียบกระดาษ No.01,28,กล่องเล็ก,14,392
วัสดุสำนักงาน,2,ลวดเสียบกระดาษ No.00,10,กล่องเล็ก,14,140
วัสดุสำนักงาน,3,เทปลบคำผิด,10,อัน,85,850
วัสดุสำนักงาน,4,เทปใส,6,ม้วน,40,240
วัสดุสำนักงาน,5,ปากกาเคมี สีน้ำเงิน,4,ด้าม,15,60
วัสดุสำนักงาน,6,ปากกาลูกลื่น สีแดง,2,ด้าม,10,20
วัสดุสำนักงาน,7,ปากกาลูกลื่น สีดำ,4,ด้าม,45,180
วัสดุสำนักงาน,8,ยางลบ,4,ก้อน,6,24
วัสดุสำนักงาน,9,สันรูด ขนาด 5 มิล,1,ห่อ,30,30
วัสดุสำนักงาน,10,เทปผ้าม้วนใหญ่,5,ม้วน,30,150
วัสดุสำนักงาน,11,คลิปหนีบกระดาษ No.108,5,กล่อง,80,400
วัสดุสำนักงาน,12,ตลับชาติ สีแดง No.2,2,อัน,35,70
วัสดุสำนักงาน,13,ตลับชาติ สีน้ำเงิน No.2,3,อัน,40,120
วัสดุสำนักงาน,14,คลิปหนีบกระดาษ No.112,1,กล่อง,175,175
วัสดุสำนักงาน,15,ปากกาเน้นข้อความ คละสี,5,ด้าม,45,225
วัสดุสำนักงาน,16,กาว 2 หน้า แบบบาง,2,ม้วน,39,78
วัสดุสำนักงาน,17,ลวดเย็บกระดาษ No.10-1M,1,กล่องใหญ่,285,285
วัสดุสำนักงาน,18,ลวดเย็บกระดาษ No.M8-1M,1,กล่องใหญ่,675,675
วัสดุสำนักงาน,19,มีดคัตเตอร์ใหญ่,1,ด้าม,75,75
วัสดุสำนักงาน,20,หมึกแท่นประทับตรา  สีน้ำเงิน,3,อัน,15,45
วัสดุสำนักงาน,21,หมึกแท่นประทับตรา  สีแดง,1,อัน,15,15
วัสดุสำนักงาน,22,กรรไกร ใหญ่,4,อัน,75,300
วัสดุสำนักงาน,23,กระดาษสติ๊กเกอร์ ขาวด้าน,1,รีม,150,150
วัสดุสำนักงาน,24,กระดาษสติ๊กเกอร์ ขาวมัน,1,รีม,145,145
วัสดุสำนักงาน,25,กระดาษโฟโต้,3,รีม,240,720
วัสดุสำนักงาน,26,ซองจดหมาย,1,กล่องใหญ่,520,520
วัสดุสำนักงาน,27,ซองน้ำตาล ขยายข้าง,2,ห่อ,290,580
วัสดุสำนักงาน,28,ซองน้ำตาล ไม่ขยายข้าง,2,ห่อ,180,360
วัสดุสำนักงาน,29,กระดาษแข็ง,5,แผ่น,15,75
วัสดุสำนักงาน,30,ถ่าน ขนาด AA,1,แพ๊ค,65,65
วัสดุสำนักงาน,31,แบบ อค.9 (ทะเบียนคุมเงินประกันสัญญา),4,เล่ม,80,320
วัสดุสำนักงาน,32,ทะเบียนคุมครุภัณฑ์,3,เล่ม,100,300
วัสดุสำนักงาน,33,พด 1 ทะเบียนพัสดุที่ดินและสิ่งปลูกสร้าง,75,ฉบับ,3.5,262.5
วัสดุสำนักงาน,34,ปากกาลูกลื่น สีน้ำเงิน,1,กล่อง,250,250
วัสดุสำนักงาน,35,เทปผ้าย่น,5,ม้วน,20,100
วัสดุสำนักงาน,36,ที่เจาะกระดาษ,2,อัน,65,130
วัสดุสำนักงาน,37,เครื่องคิดเลข,1,เครื่อง,750,750
วัสดุสำนักงาน,38,ปากกาเขียนครุภัณฑ์,4,ด้าม,62,248
วัสดุสำนักงาน,39,คีมถอนลวด,2,อัน,90,180
วัสดุสำนักงาน,40,ปลั๊กไฟ ขนาด 5 เมตร,2,อัน,450,900
วัสดุสำนักงาน,41,แผ่นเคลือบใส,1,รีม,285,285
วัสดุสำนักงาน,42,ถ่าน ขนาด AAA,2,แพ๊ค,132,264
วัสดุสำนักงาน,43,กระดาษโน๊ต สติ๊กโน๊ต,4,อัน,20,80
วัสดุสำนักงาน,44,กระดาษการ์ด สีขาว ขนาด 150 แกรม,1,รีม,60,60
วัสดุสำนักงาน,45,เทปโฟม ขนาด 21 MM,1,อัน,250,250
วัสดุสำนักงาน,46,ปลั๊กไฟ ขนาด 10 เมตร,1,อัน,495,495
วัสดุสำนักงาน,47,ไม้บรรทัดเหล็ก ยาว,3,อัน,50,150
วัสดุคอมพิวเตอร์,1,cannon 325,1,กล่อง,2250,2250
วัสดุคอมพิวเตอร์,2,Brother TN-2480,1,กล่อง,2900,2900
วัสดุคอมพิวเตอร์,3,HP-30A,1,กล่อง,3500,3500
วัสดุคอมพิวเตอร์,4,Brother TN-2360,1,กล่อง,1350,1350
วัสดุคอมพิวเตอร์,5,Keyboard mouse USB,1,ชุด,550,550
วัสดุคอมพิวเตอร์,6,แฟลชไดร์,2,อัน,320,640
วัสดุคอมพิวเตอร์,7,หมึกเติม EPSON 003 BK,1,ขวด,310,310
วัสดุคอมพิวเตอร์,8,Brother TN-267 สีดำ,1,กล่อง,3000,3000
วัสดุคอมพิวเตอร์,9,Brother TN-267 สีชมพู,1,กล่อง,3730,3730
วัสดุคอมพิวเตอร์,10,Brother TN-267 สีเหลือง,1,กล่อง,3800,3800
วัสดุคอมพิวเตอร์,11,Brother TN-267 สีlฟ้า,1,กล่อง,3730,3730
วัสดุคอมพิวเตอร์,12,HP-12A,1,กล่อง,4280,4280
วัสดุสำนักงาน จัดซื้อ,1,กระดาษถ่ายเอกสาร,25,กล่อง,15000,
วัสดุสำนักงาน จัดซื้อ,2,กระดาษการ์ดสี สีเขียวอ่อน 120 แกรม,5,รีม,450,
วัสดุสำนักงาน จัดซื้อ,3,แฟ้ม ตราช้าง ขนาด 3 นิ้ว 120F สีดำ,2,โหล,2280,
วัสดุสำนักงาน จัดซื้อ,4,สมุดบันทึก 4/100 มุม พลาสติก,1,เล่ม,275,
วัสดุสำนักงาน จัดซื้อ,5,กาว UHU,6,อัน,402,
วัสดุสำนักงาน จัดซื้อ,6,ถ่าน AA,2,แพ๊ค,246,
วัสดุสำนักงาน จัดซื้อ,7,ถ่าน AAA,2,แพ๊ค,246,
วัสดุสำนักงาน จัดซื้อ,8,ปากกา g-sofe Fizz HI GRIP ขนาด 0.38 สีน้ำเงิน,2,โหล,320,
วัสดุสำนักงาน จัดซื้อ,9,ตรายางวันที่ Bennon เลขอารบิก,2,อัน,70,
วัสดุสำนักงาน จัดซื้อ,10,คลิปบอร์ด ขนาด A4,2,อัน,50,
วัสดุสำนักงาน จัดซื้อ,11,ปากกาเลขหัวกด Pentel energel 0.7 มม. BL77 สีน้ำเงิน,1,โหล,630,
วัสดุสำนักงาน จัดซื้อ,12,ตู้เก็บเอกสาร ออร์ก้า 5 ชั้น TCB-5 โครงขาว-ลิ้นชักสี,1,ชุด,720,
วัสดุคอมพิวเตอร์ จัดซื้อ,1,cannon 325,1,กล่อง,2250,2250
วัสดุคอมพิวเตอร์ จัดซื้อ,2,Brother TN-2480,1,กล่อง,2900,2900
วัสดุคอมพิวเตอร์ จัดซื้อ,3,HP-30A,1,กล่อง,3500,3500
วัสดุคอมพิวเตอร์ จัดซื้อ,4,Brother TN-2360,2,กล่อง,1350,2700
วัสดุคอมพิวเตอร์ จัดซื้อ,5,mouse USB,2,อัน,550,1100
วัสดุคอมพิวเตอร์ จัดซื้อ,6,Brother TN-267 สีดำ,1,กล่อง,3000,3000
วัสดุคอมพิวเตอร์ จัดซื้อ,7,Brother TN-267 สีชมพู,1,กล่อง,3730,3730
วัสดุคอมพิวเตอร์ จัดซื้อ,8,Brother TN-267 สีเหลือง,1,กล่อง,3800,3800
